manzanac,ed0,ed1,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30,ed1,pred_dec,pred,dif
7.60E+21,0,0,3,1,1,1,0,1,0,2,3,2,1,1,1,1,1,2,1,2,1,3,0,1,1,1,1,1,1,2,1,0,0.801637697,1,-1
7.60E+21,1,1,1,2,1,0,1,0,1,1,0,2,1,3,2,0,0,5,1,1,1,4,2,2,3,0,4,4,2,4,6,1,1.241339286,1,0
7.60E+21,1,0,0,3,3,2,2,2,1,1,0,1,2,1,2,1,1,1,2,2,2,1,0,0,0,3,2,3,2,3,0,0,0.386190476,0,0
7.60E+21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.004134979,0,0
7.60E+21,0,2,0,0,1,3,0,0,0,2,3,0,1,0,0,1,1,2,1,3,0,2,1,0,2,1,1,1,1,0,1,2,0.601142532,1,1
7.60E+21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0.043261763,0,0
7.60E+21,0,2,0,0,0,0,0,1,0,1,2,0,0,1,0,1,4,0,2,2,2,0,1,2,2,0,0,1,1,1,0,2,1.435345532,1,1
7.60E+21,0,0,1,1,1,1,2,1,0,0,2,2,0,1,0,0,1,0,1,1,0,3,1,1,0,1,2,0,0,1,2,0,0.193549026,0,0
7.60E+21,1,0,0,1,0,1,2,3,0,3,0,2,0,3,1,1,5,1,0,0,2,3,2,1,1,5,2,6,2,4,1,0,0.448688525,0,0
7.60E+21,1,2,0,1,0,1,1,4,8,1,1,5,5,2,5,8,2,2,5,2,4,5,2,1,4,2,1,0,0,0,2,2,1.834285714,2,0
7.60E+21,0,0,2,0,1,1,3,2,0,0,2,0,0,3,2,1,2,0,1,3,2,2,2,2,4,0,1,1,1,2,1,0,0.251682051,0,0
7.60E+21,0,0,1,0,2,0,3,2,0,2,3,0,0,0,1,1,0,0,2,1,0,0,1,2,2,2,0,1,0,2,2,0,0.288002498,0,0
7.60E+21,15,8,10,9,7,8,9,9,6,10,14,8,6,8,4,7,7,7,13,8,9,7,3,7,16,12,7,15,16,16,14,8,7.671428571,8,0
7.60E+21,0,0,0,1,1,3,1,0,0,3,6,0,2,0,2,1,1,0,4,2,2,2,2,2,0,0,1,5,1,3,4,0,0.278961039,0,0
7.60E+21,1,0,0,1,1,0,1,1,0,5,0,1,2,0,1,0,0,1,0,0,1,0,0,1,1,1,2,2,3,1,2,0,0.173255057,0,0
7.60E+21,0,0,3,4,1,4,2,6,2,1,3,2,7,1,2,2,1,10,3,3,3,2,2,1,3,4,2,3,6,1,3,0,0.741428571,1,-1
7.60E+21,0,1,0,0,1,0,0,0,0,1,0,2,3,2,1,0,2,2,2,2,1,2,2,0,0,2,2,3,0,1,1,1,0.813913893,1,0
7.60E+21,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,4,3,0,0,0,0.23429603,0,0
7.60E+21,7,4,5,2,7,3,11,4,6,3,4,6,5,11,8,4,4,5,6,6,7,5,6,6,7,10,5,6,12,7,8,4,4.1,4,0
7.60E+21,1,1,2,0,2,3,0,2,4,2,3,5,3,3,2,2,6,2,4,6,4,3,3,7,5,1,1,2,3,4,2,1,1.135238095,1,0
7.60E+21,0,1,0,0,0,1,1,0,0,1,0,2,2,1,2,1,2,0,1,1,2,1,0,2,5,4,2,1,4,3,1,1,0.833968379,1,0
7.60E+21,0,1,1,0,1,1,2,0,0,1,1,0,2,0,1,1,1,1,5,0,2,4,1,1,2,0,2,0,0,3,2,1,0.84415051,1,0
7.60E+21,1,4,2,0,5,4,2,2,7,3,6,4,9,2,8,3,7,5,6,2,7,3,3,6,2,5,2,2,1,4,1,4,2.627142857,3,1
7.60E+21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0,2,2,1,0,1,0,0,0.129266736,0,0
7.60E+21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,2,1,1,0,0.135013753,0,0
7.60E+21,2,0,1,0,1,1,1,1,0,1,0,1,1,2,0,1,0,0,0,2,0,2,4,0,2,0,2,2,1,1,0,0,0.195367756,0,0
7.60E+21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0.138646137,0,0
7.60E+21,0,0,0,0,1,0,0,1,0,2,1,0,0,1,1,0,1,0,1,1,1,1,0,3,2,2,1,1,3,0,2,0,0.183568287,0,0
7.60E+21,18,8,13,14,17,23,20,11,8,18,11,12,24,8,13,12,8,3,13,7,10,14,14,11,8,16,9,7,15,16,19,8,9.244285714,9,-1
7.60E+21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137728,0,0
7.60E+21,0,0,0,0,1,1,2,0,1,1,4,1,0,2,2,1,0,2,0,1,5,3,1,8,0,1,4,1,1,2,1,0,0.824596088,1,-1
7.60E+21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0.056451953,0,0
7.60E+21,1,0,1,1,1,1,1,1,1,1,1,1,0,2,2,1,1,1,0,1,1,2,1,2,1,4,2,2,1,4,6,0,1.113693064,1,-1
