manzanac,gbh,pred2022,pred2022_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,0,0.25182592,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
7.60E+21,,4,3.667142857,3,4,4,4,4,5,2,7,3,11,4,6,3,4,6,5,11,8,4,4,5,6,6,7,5,6,6,7,10
7.60E+21,,1,1.495714286,1,2,2,2,1,2,0,2,3,0,2,4,2,3,5,3,3,2,2,6,2,4,6,4,3,3,7,5,1
7.60E+21,,1,0.708119288,1,1,1,1,1,0,0,0,1,1,0,0,1,0,2,2,1,2,1,2,0,1,1,2,1,0,2,5,4
7.60E+21,,1,0.887379252,1,1,1,1,1,1,0,1,1,2,0,0,1,1,0,2,0,1,1,1,1,5,0,2,4,1,1,2,0
7.60E+21,,2,2.018571429,2,2,2,2,4,2,0,5,4,2,2,7,3,6,4,9,2,8,3,7,5,6,2,7,3,3,6,2,5
7.60E+21,,0,0.170379425,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0,2
7.60E+21,,0,0.041833341,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
7.60E+21,,1,0.699758881,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,2,0,1,0,0,0,2,0,2,4,0,2,0
7.60E+21,,0,0.138364976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0
7.60E+21,,0,0.419959721,0,0,0,1,0,0,0,1,0,0,1,0,2,1,0,0,1,1,0,1,0,1,1,1,1,0,3,2,2
7.60E+21,,7,6.722857143,6,7,8,8,8,13,14,17,23,20,11,8,18,11,12,24,8,13,12,8,3,13,7,10,14,14,11,8,16
7.60E+21,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,1,1.068496241,1,1,1,1,0,0,0,1,1,2,0,1,1,4,1,0,2,2,1,0,2,0,1,5,3,1,8,0,1
7.60E+21,,0,0.087270025,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
7.60E+21,,1,0.670706184,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,2,2,1,1,1,0,1,1,2,1,2,1,4
7.60E+21,,0,0.170767867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,2,0,0
7.60E+21,,1,0.549709957,1,1,1,1,1,2,0,0,2,0,1,0,1,0,2,1,2,1,4,0,1,0,0,1,0,0,1,1,2
7.60E+21,,1,0.53610496,1,1,1,1,0,0,0,3,1,1,0,2,0,0,1,0,0,0,2,1,2,0,2,1,2,0,0,2,0
7.60E+21,,1,0.533103472,1,1,1,1,1,0,0,1,2,0,1,1,1,0,2,2,1,1,1,1,2,1,0,0,2,0,2,2,3
7.60E+21,,1,0.706855415,1,1,1,1,0,1,3,0,2,1,1,2,0,1,0,1,1,2,1,0,3,1,0,3,1,1,0,3,1
7.60E+21,,0,0.045866111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0
7.60E+21,,0,0.251170076,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
7.60E+21,,0,0.113500074,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
7.60E+21,,0,0.174394834,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,2,0
