manzanac,rte,pred_2018,pred2018_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,1,0.939885462,1,1,0,3,0,0,3,1,1,0,2,0,0,1,1,1,3,3,1,2,2,1,1,5,0,1,1,1,1
7.60E+21,,2,1.547142857,0,1,1,4,2,0,0,1,2,5,4,4,4,2,3,6,2,7,1,10,4,2,5,6,1,1,1,2,2
7.60E+21,,0,0.244589591,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,2,0
7.60E+21,,1,0.86513103,1,0,1,1,1,1,3,0,0,1,1,3,1,2,2,0,1,0,2,2,2,2,0,1,4,3,1,3,1
7.60E+21,,0,0.415587673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,2,2,2,2,0,1
7.60E+21,,1,0.664000309,1,0,0,0,3,0,1,0,0,2,3,0,2,0,1,1,2,1,1,1,2,1,1,4,2,0,1,2,1
7.60E+21,,0,0.242866411,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,2,0,1,0,0,1
7.60E+21,,1,0.523020157,0,1,0,0,1,1,0,1,0,2,0,0,3,0,3,1,0,1,0,2,1,4,3,1,2,2,4,1,1
7.60E+21,,1,0.77455676,0,3,1,1,1,0,1,0,2,3,2,1,1,1,1,1,2,1,2,1,3,0,1,1,1,1,1,1,2
7.60E+21,,1,0.864953269,1,1,2,1,0,1,0,1,1,0,2,1,3,2,0,0,5,1,1,1,4,2,2,3,0,4,4,2,4
7.60E+21,,1,1.241323417,0,0,3,3,2,2,2,1,1,0,1,2,1,2,1,1,1,2,2,2,1,0,0,0,3,2,3,2,3
7.60E+21,,0,0.03592126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.60E+21,,1,0.691351541,2,0,0,1,3,0,0,0,2,3,0,1,0,0,1,1,2,1,3,0,2,1,0,2,1,1,1,1,0
7.60E+21,,0,0.082489055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
7.60E+21,,1,0.734859544,2,0,0,0,0,0,1,0,1,2,0,0,1,0,1,4,0,2,2,2,0,1,2,2,0,0,1,1,1
7.60E+21,,1,0.611459563,0,1,1,1,1,2,1,0,0,2,2,0,1,0,0,1,0,1,1,0,3,1,1,0,1,2,0,0,1
7.60E+21,,1,1.198137411,0,0,1,0,1,2,3,0,3,0,2,0,3,1,1,5,1,0,0,2,3,2,1,1,5,2,6,2,4
7.60E+21,,1,1.48047619,2,0,1,0,1,1,4,8,1,1,5,5,2,5,8,2,2,5,2,4,5,2,1,4,2,1,0,0,0
7.60E+21,,1,0.767068161,0,2,0,1,1,3,2,0,0,2,0,0,3,2,1,2,0,1,3,2,2,2,2,4,0,1,1,1,2
7.60E+21,,1,0.820649428,0,1,0,2,0,3,2,0,2,3,0,0,0,1,1,0,0,2,1,0,0,1,2,2,2,0,1,0,2
7.60E+21,,7,7.255714286,8,10,9,7,8,9,9,6,10,14,8,6,8,4,7,7,7,13,8,9,7,3,7,16,12,7,15,16,16
7.60E+21,,1,0.844285714,0,0,1,1,3,1,0,0,3,6,0,2,0,2,1,1,0,4,2,2,2,2,2,0,0,1,5,1,3
7.60E+21,,1,0.743798707,0,0,1,1,0,1,1,0,5,0,1,2,0,1,0,0,1,0,0,1,0,0,1,1,1,2,2,3,1
